"word","valence","valence_mean_sd","dominance","dominance_mean_sd","arousal","arousal_mean_sd","frequency"
"dummy","3.3800001144","1.7000000476837","4.3499999046","2.25","3.6700000763","2.0199999809265","3"
"dump","3.2100000381","1.8700000047684","4.1199998856","2.359999895095825","3.8299999237","1.8700000047684","4"
"easy","7.0999999046","1.9099999666214","4.4800000191","2.819999933242798","7","1.6299999952316","125"
"ecstasy","7.9800000191","1.5199999809265","7.3800001144","1.919999957084656","6.6799998283","2.0799999237061","6"
"egg","5.2899999619","1.8200000524521","3.7599999905","2.390000104904175","4.4899997711","2.1600000858307","12"
"elbow","5.1199998856","0.9200000166893","3.8099999428","2.140000104904175","4.8800001144","1.5199999809265","10"
"elevator","5.4400000572","1.1799999475479","4.1599998474","1.990000009536743","4.3200001717","1.6900000572205","12"
"event","6.2100000381","1.6299999952316","5.0999999046","2.400000095367432","5.5199999809","1.5700000524521","81"
"evil","3.2300000191","2.6400001049042","6.3899998665","2.440000057220459","5.25","2.5999999046326","72"
"fabric","5.3000001907","1.2000000476837","4.1399998665","1.980000019073486","5.0300002098","1.6100000143051","15"
"fall","4.0900001526","2.210000038147","4.6999998093","2.480000019073486","4","2.1500000953674","147"
"false","3.2699999809","1.3999999761581","3.4300000668","2.089999914169312","4.0999999046","1.5599999427795","29"
"famous","6.9800000191","2.0699999332428","5.7300000191","2.680000066757202","6.3200001717","2.1800000667572","89"
"fantasy","7.4099998474","1.8999999761581","5.1399998665","2.819999933242798","6.4299998283","2.0499999523163","14"
"fault","3.4300000668","1.3799999952316","4.0700001717","1.690000057220459","4.0199999809","1.6599999666214","22"
"favor","6.4600000381","1.5199999809265","4.5399999619","1.860000014305115","5.6700000763","1.7599999904633","78"
"festive","7.3000001907","2.2599999904633","6.5799999237","2.289999961853027","5.7699999809","2.3399999141693","2"
"fever","2.7599999905","1.6399999856949","4.2899999619","2.309999942779541","3.5199999809","2.1500000953674","19"
"fight","3.7599999905","2.6300001144409","7.1500000954","2.190000057220459","5.2699999809","2.6900000572205","98"
"finger","5.2899999619","1.4199999570847","3.7799999714","2.420000076293945","5.0500001907","1.7000000476837","40"
"flag","6.0199999809","1.6599999666214","4.5999999046","2.349999904632568","5.5","1.6599999666214","16"
"flirt","7.5199999809","1.1900000572205","6.9099998474","1.690000057220459","6.2399997711","2.3299999237061","1"
"flood","3.1900000572","1.6599999666214","6","2.019999980926514","3.2400000095","2.1400001049042","19"
"foam","6.0700001717","2.0299999713898","5.2600002289","2.539999961853027","5.2399997711","1.9700000286102","37"
"foot","5.0199999809","0.9300000071526","3.2699999809","1.980000019073486","4.9800000191","1.4199999570847","70"
"frigid","3.5","1.8500000238419","4.75","2.559999942779541","4.2699999809","1.9800000190735","5"
"fun","8.3699998856","1.1100000143051","7.2199997902","2.009999990463257","6.8000001907","1.8500000238419","44"
"game","6.9800000191","1.9700000286102","5.8899998665","2.369999885559082","5.6999998093","1.6499999761581","123"
